Avg. Area Income;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price
6.069.735.153.944.830;7.150.536.572.335.950;6.34;2.814.096.708.772.470;7.439.998.191.601.970
Lake Elizabeth;;;;
5.974.885.548.697.420;77.486.816.056.065.900;4.23;27.809.986.543.758.800;8.957.371.333.835.070
West Perry;;;;
5.697.447.653.879.640;73.128.799.714.630.000;4.33;4.069.486.951.302.230;14.539.745.059.508.700
Lewisfort;;;;
8.217.362.607.584.600;6.992.698.756.791.840;2.03;3.885.391.806.648.160;1.125.692.507.295.280
Jacksonhaven;;;;
6.462.688.097.813.540;698.875.353.866.204;4.0;27.784.742.280.185.800;9.754.294.927.929.220
West Cynthia;;;;
904.990.574.513.475;4.242.191.301.572.630;3.04;3.397.016.499.037.120;1.240.763.765.571.470
Susanshire;;;;
5.932.379.209.970.030;8.273.697.077.776.590;4.07;3.752.065.773.244.970;15.770.177.600.015.500
Lake Robertfurt;;;;
7.781.152.203.457.440;6.686.686.133.004.710;3.24;33.754.737.804.984.600;12.468.301.884.286.200
Courtneyfort;;;;
6.865.260.921.090.650;6.290.820.166.996.650;4.42;39.355.625.729.470.200;1.170.720.893.654.290
Pierceview;;;;
5.504.135.158.333.910;8.591.923.294.114;5.36;30.122.473.483.557.900;1.071.279.210.244.540
Lake Emily;;;;
50.218.708.463.000.700;7.333.554.072.097.730;6.29;16.810.783.311.257.900;5.343.051.323.349.290
Emilyville;;;;
55.909.322.295.153.500;9.289.854.372.258.820;6.0;22.355.235.406.669.100;9.363.689.634.048.600
Taylorborough;;;;
7.437.281.020.915.510;6.593.045.603.910.360;2.07;3.939.515.118.232.910;11.991.938.313.295.100
Morrishaven;;;;
7.866.790.459.764.730;7.780.836.692.853.290;4.1;27.637.656.548.218.900;1.233.220.009.477.810
Port Raymondville;;;;
7.869.951.510.291.030;6.756.453.856.250.770;3.01;2.283.660.756.949.130;10.811.501.254.838.000
East Judy;;;;
5.312.818.544.891.440;54.269.028.586.106.100;2.39;32.947.711.955.068.900;5.247.127.660.674.520
"DPO AP 70848""";;;;
17.796.631.189.543.300;6.713.905.444.702.080;2.5;47.162.183.643.191.400;30.235.583.597.895.500
Lake Martha;;;;
5.856.684.936.342.050;5.034.525.351.903.060;2.17;397.054.649.593.564;1.026.817.399.788.450
Loriport;;;;
7.553.779.451.000.030;7.555.660.720.822.210;6.3;327.781.953.418.883;17.622.146.795.818.800
Lake Kevin;;;;
46.147.053.056.343.300;7.606.831.549.667.410;4.43;2.716.112.860.794.620;8.820.571.705.928.420
North Victoria;;;;
704.214.764.876.077;7.634.318.731.446.650;4.44;43.183.928.487.881.000;1.744.932.210.990.920
Davidsonstad;;;;
62.614.420.619.127.300;7.440.505.217.892.150;6.32;2.688.857.956.293.910;11.538.714.695.016.300
West Deborah;;;;
6.639.487.158.584.820;7.204.639.709.248.280;3.18;3.974.107.750.943.350;14.999.888.795.226.100
Brooketown;;;;
7.394.685.107.397.810;7.537.182.365.353.190;6.35;3.526.112.701.836.890;1.109.588.380.162.500
Devonfurt;;;;
6.914.474.570.743.980;5.928.223.472.951.470;3.22;190.306.154.867.746;9.801.773.051.371.250
"DPO AP 04678""";;;;
7.727.869.702.818.650;6.919.204.136.372.870;2.13;2.172.595.428.963.460;1.323.952.027.425.170
Anthonybury;;;;
867.541.966.286.121;6.252.454.805.349.360;4.02;43.017.440.757.153.600;16.624.947.355.443.800
New Richard;;;;
7.439.984.098.191.420;7.252.665.322.385.210;6.36;410.846.628.246.322;1.417.819.740.218.080
Mooneyborough;;;;
49.408.198.340.144.300;5.831.738.972.572.460;3.32;26.881.130.597.967.100;5.499.761.455.595.780
Danielsside;;;;
62.279.790.051.573.900;6.306.116.349.848.910;4.12;3.526.365.313.745.230;1.054.770.980.647.520
West John;;;;
7.307.820.408.561.830;6.445.456.690.525.830;3.32;54.915.961.781.984.000;1.415.647.553.437.230
South Julieton;;;;
7.294.270.505.913.400;73.198.855.301.255.500;6.41;24.377.909.049.316.500;9.487.882.757.094.480
Scotttown;;;;
6.381.962.285.114.130;8.022.469.239.326.930;4.09;2.782.557.206.129.430;1.159.596.518.619.620
Lake Jacqueline;;;;
7.326.544.988.790.630;74.255.974.600.340.900;3.24;2.103.096.617.717.160;15.471.333.964.004.400
Suzannefurt;;;;
6.848.813.117.301.980;7.182.527.480.002.900;5.08;18.267.954.705.638.800;1.186.688.505.938.340
Jamesport;;;;
55.193.857.453.150.000;5.096.917.456.207.570;4.01;32.537.818.768.918.000;7.721.119.721.021.000
Hohaven;;;;
7.743.468.924.044.500;5.219.754.029.195.470;3.06;3.625.234.068.234.420;11.727.301.557.693.100
North James;;;;
6.615.888.158.501.310;691.174.261.004.152;2.28;3.709.874.217.235.170;11.110.850.168.910.600
New Roberttown;;;;
60.502.909.333.844.400;5.731.824.124.869.710;4.23;33.579.631.512.167.600;10.227.811.707.429.100
Thompsonside;;;;
60.910.893.793.329.700;73.259.737.812.411.700;4.2;43.347.804.001.154.500;12.744.745.458.934.900
"APO AA 58696-1278""";;;;
7.393.197.852.158.830;4.580.839.920.871.760;4.32;36.543.067.280.548.000;12.135.308.498.658.600
Mcculloughfurt;;;;
5.953.994.845.013.640;7.007.676.165.647.250;5.43;5.860.082.714.967.570;14.117.304.772.588.300
South Kevin;;;;
56.547.507.187.403.800;6.515.149.876.905.340;3.13;3.758.527.457.622.870;8.586.855.659.249.560
West Calebberg;;;;
6.595.034.701.683.290;671.784.430.631.321;3.28;40.110.847.604.950.700;12.009.618.209.226.200
Maryborough;;;;
7.453.316.208.198.750;5.919.230.725.467.020;4.0;4.948.156.580.760.430;15.202.342.293.774.500
Brownborough;;;;
6.642.291.905.176.670;7.078.583.744.940.180;6.36;31.019.324.820.690.300;13.609.083.196.200.000
Craigstad;;;;
7.433.449.484.891.060;6.261.535.284.081.690;4.12;41.640.435.660.656.700;13.609.205.303.860.800
South Jesse;;;;
6.353.834.615.822.210;7.168.662.410.843.200;3.27;4.328.218.300.425.020;11.465.324.547.405.600
Meyersbury;;;;
8.395.310.483.909.650;6.898.846.568.957.150;3.08;3.728.335.764.595.170;17.890.985.206.914.900
South Kyle;;;;
5.727.906.357.585.890;6.561.520.216.102.690;3.17;4.402.379.068.493.210;8.520.994.640.268.530
East Charlotteview;;;;
565.535.502.526.617;7.021.252.354.277.720;3.15;29.682.409.864.227.800;746.096.728.900.488
"APO AP 45454""";;;;
7.579.557.598.259.090;7.327.325.342.996.350;6.25;3.319.777.774.263.010;1.534.479.906.564.420
Christopherborough;;;;
7.084.878.865.873.710;67.664.446.637.172.500;3.27;40.458.735.869.517.400;12.156.085.310.559.600
"FPO AA 13237-3887""";;;;
5.978.740.450.393.620;6.594.592.279.140.100;3.43;32.402.107.549.146.800;9.415.943.284.107.690
Ethanbury;;;;
6.482.637.189.495.590;8.290.419.812.591.500;4.38;60.286.043.101.357.600;12.045.980.374.631.200
"DPO AP 49517""";;;;
659.258.537.962.682;7.070.409.540.665.190;3.28;34.171.360.073.668.600;15.976.552.584.122.800
East Donald;;;;
6.441.925.263.834.630;851.616.004.802.799;6.16;3.931.817.075.472.380;14.920.114.958.621.200
Port Reginaland;;;;
58.544.460.298.238.700;7.276.308.629.143.920;4.28;3.086.558.695.374.520;14.212.165.044.408.500
Royshire;;;;
6.879.179.168.848.520;6.704.201.604.222.810;4.11;4.842.332.244.417.680;11.325.229.012.947.100
New Tommy;;;;
8.206.156.520.383.850;5.963.031.884.078.480;4.1;36.271.408.495.749.200;11.028.214.381.808.000
Terryburgh;;;;
8.065.952.544.359.620;71.007.534.318.037.700;6.24;5.294.703.636.008.700;1.856.211.350.359.600
Shermanchester;;;;
6.666.809.352.103.530;7.863.127.436.732.530;3.35;4.707.521.223.266.850;16.879.989.329.604.700
"DPO AE 92239""";;;;
6.472.156.449.637.060;6.971.331.701.061.320;4.48;3.611.581.636.440.270;10.634.230.072.648.600
Adamsview;;;;
65.199.989.940.295;6.937.127.028.132.980;3.2;28.366.035.431.853.400;117.728.988.620.479
Port Kevinbury;;;;
7.457.998.952.724.630;5.521.489.298.839.980;3.07;42.806.146.643.801.200;11.734.743.788.373.200
Pattonside;;;;
7.627.367.032.549.280;4.500.165.347.584.360;3.39;4.697.457.878.575.330;16.372.599.986.677.800
Danielmouth;;;;
6.756.194.206.013.890;7.658.576.338.909.910;4.04;3.551.754.187.040.420;12.389.382.905.319.900
Cordovabury;;;;
48.904.983.269.316.800;5.448.956.029.609.420;3.38;3.296.075.307.019.120;20.189.808.657.249.600
North Kellytown;;;;
7.214.596.721.315.150;8.258.634.923.487.290;6.06;28.882.900.854.673.700;14.395.061.015.570.000
East Danielle;;;;
7.080.561.068.360.130;5.809.147.305.516.630;3.3;29.268.826.741.684.700;5.856.086.326.222.320
Port Michaelberg;;;;
65.383.337.917.286.800;66.400.320.037.539.900;3.46;35.114.402.463.487.300;12.946.851.585.470.100
East Christianside;;;;
9.545.029.308.601.310;6.850.361.008.137.970;3.33;39.388.515.521.077.400;2.014.851.344.161.510
West Craig;;;;
7.369.869.635.729.120;65.783.520.737.636.300;4.33;5.181.509.641.862.210;18.402.360.058.026.800
Elizabethland;;;;
6.626.391.050.116.320;67.369.741.310.107.400;4.41;49.829.951.500.481.300;1.441.421.912.993.600
Jessicastad;;;;
7.539.475.958.162.150;7.834.099.800.649.180;4.48;2.226.807.530.558.200;14.986.405.506.503.700
Acostahaven;;;;
6.598.475.064.485.820;6.316.480.020.228.280;2.38;2.186.747.693.989.440;9.547.465.764.328.240
West Andreaton;;;;
6.647.726.279.229.030;6.038.487.979.300.020;2.37;3.245.898.669.901.370;11.246.359.316.285.900
Bakershire;;;;
6.928.425.963.691.320;71.734.258.851.799.900;3.45;4.028.272.428.010.040;11.699.442.477.587.400
North Sharonfurt;;;;
7.040.449.610.371.920;6.001.261.362.192.460;2.02;37.127.925.501.004.100;111.443.095.342.313
New Debra;;;;
742.184.890.218.834;6.506.374.302.162.940;4.37;467.706.609.678.888;17.835.348.388.273.600
Samanthaview;;;;
6.344.171.464.512.620;7.064.811.136.062.070;3.22;4.806.175.267.334.160;13.029.332.475.692.700
"DPO AP 68816-2990""";;;;
57.493.924.570.279.400;6.734.045.416.240.340;4.41;4.703.921.532.294.120;12.414.836.118.732.500
Nathanielview;;;;
8.154.377.731.533.440;5.897.052.836.266.320;2.14;9.816.300.884.708.530;9.541.145.439.535.470
"DPO AE 41177-0399""";;;;
7.863.397.375.508.890;753.114.301.190.621;3.24;43.728.803.486.197.000;15.553.205.000.011.100
Johnshire;;;;
52.202.853.719.713.500;4.414.380.865.779.890;2.23;4.216.581.245.686.790;404.976.365.896.227
East Troy;;;;
6.798.038.878.192.910;6.159.705.222.415.720;2.44;25.909.079.196.423.900;1.073.183.759.841.620
New Dennis;;;;
7.856.844.916.405.220;6.291.600.795.963.240;2.29;4.101.664.709.111.230;14.221.958.794.505.600
Johnmouth;;;;
5.547.265.482.690.550;58.559.723.089.516.800;3.2;15.353.956.428.663.000;3.406.052.113.124.600
Kathleenmouth;;;;
6.757.923.479.443.130;7.754.357.545.442.310;6.32;21.762.949.685.625.300;11.709.595.262.846.100
Mooreside;;;;
6.145.615.070.378.080;6.417.572.621.814.370;4.19;3.082.141.208.657.680;9.428.381.647.218.130
Maxwellmouth;;;;
6.081.539.039.496.140;7.984.335.122.159.100;4.11;31.233.649.345.910.000;14.016.139.197.693.200
Jacksonborough;;;;
51.217.181.160.371.800;8.776.160.033.559.260;3.41;4.708.947.508.109.750;117.550.448.633.204
"FPO AE 12326""";;;;
6.302.767.471.485.820;5.580.905.937.457.920;2.3;3.599.172.063.788.770;6.087.942.466.921.950
South Michellemouth;;;;
62.484.855.299.128;7.322.709.774.158.180;5.13;26.882.651.794.677.200;9.469.430.362.171.350
Kaitlinland;;;;
739.234.662.743.976;713.506.334.705.251;6.04;58.745.312.027.558.900;18.199.006.366.437.100
West Jasonview;;;;
7.973.760.976.390.010;66.110.960.049.951.600;2.17;28.307.314.325.644.900;14.631.302.729.789.300
New Candice;;;;
6.389.047.156.766.450;7.916.386.397.194.920;5.49;43.416.497.820.927.900;12.523.911.798.421.600
East Catherine;;;;
6.731.003.695.278.610;7.760.732.554.508.700;5.28;4.331.061.242.826.760;17.144.451.746.365.800
Port Jennyside;;;;
7.314.573.021.780.250;725.421.743.282.951;3.18;4.946.337.887.902.850;1.291.759.392.660.680
New Kevin;;;;
8.692.435.876.562.170;7.738.295.553.417.690;6.32;2.871.941.088.814.540;18.091.542.893.631.700
Matthewton;;;;
7.438.410.562.904.490;51.648.654.759.782.800;2.3;17.117.443.674.840.700;1.200.539.361.167.780
Jesusfurt;;;;
6.747.778.818.404.290;7.916.171.659.861.110;5.1;2.976.392.534.861.550;13.002.652.104.154.600
"APO AA 33741""";;;;
712.029.569.203.271;6.634.954.065.509.120;4.37;34.207.397.208.470.000;9.974.487.280.769.930
West Charlottefurt;;;;
8.584.531.779.919.540;9.468.766.369.195.860;3.46;4.647.767.868.450.170;21.529.594.089.430.800
Wilsonview;;;;
7.213.887.048.244.940;8.485.778.262.707.220;5.45;35.799.638.274.321.700;16.299.838.467.032.400
East Brittany;;;;
4.480.600.516.405.540;47.253.251.166.241.800;3.1;5.739.089.007.381.040;4.975.794.465.868.720
Aliciaside;;;;
675.041.784.594.896;589.441.194.891.935;4.36;3.744.112.054.361.430;8.901.125.493.178.920
Brendaberg;;;;
7.470.610.053.171.050;5.661.064.126.685.240;2.05;39.680.609.320.436.000;1.064.685.698.733.530
Jamesshire;;;;
6.889.834.591.339.410;7.871.352.644.418.100;6.39;3.951.557.156.160.540;15.301.240.163.168.900
Kaiserville;;;;
5.811.801.816.079.880;565.090.028.566.729;4.36;35.598.390.437.472.000;12.462.468.277.597.600
Port Keithmouth;;;;
7.764.328.308.709.670;5.381.038.359.373.990;4.45;355.122.550.468.822;1.240.754.932.046.380
Huntland;;;;
6.776.982.559.099.870;67.616.314.076.168.700;4.22;3.325.460.340.942.820;17.607.346.903.640.100
Port Tinashire;;;;
7.441.105.989.226.670;72.101.233.611.688.500;6.44;4.353.750.294.550.510;1.393.746.760.467.420
New Shannon;;;;
7.310.107.879.766.860;8.920.333.221.277.760;4.35;29.497.971.293.353.700;11.723.858.977.045.600
West Lauraberg;;;;
58.708.417.156.740.100;6.262.825.883.607.420;4.07;15.969.926.041.239.700;48.398.610.899.252.900
West Kimberlyberg;;;;
638.760.599.100.904;7.187.432.974.886.650;3.37;3.805.287.644.316.590;13.885.301.566.836.000
West Bryan;;;;
6.834.315.409.141.890;842.511.289.496.364;6.2;4.065.387.006.540.160;17.217.393.841.384.900
Diaztown;;;;
7.306.497.996.127.990;7.204.368.895.136.850;6.19;3.069.933.971.051.100;12.764.487.920.429.700
North Nicholasport;;;;
6.736.726.808.279.860;6.690.894.898.640.910;2.49;32.547.272.533.076.500;1.161.742.677.446.360
Lake Brookebury;;;;
6.654.718.175.159.230;5.305.000.412.053.210;2.04;16.741.964.987.126.600;7.864.079.451.174.270
North Jessica;;;;
733.135.453.841.825;8.492.901.228.869.570;4.46;3.780.899.667.212.120;1.604.920.973.458.410
New Michael;;;;
47.681.361.733.034.500;7.788.267.986.215.610;5.13;5.090.897.890.911.070;12.301.491.367.864.400
"APO AP 50576""";;;;
6.791.094.912.846.220;6.675.937.267.762.160;4.32;31.379.782.970.582.300;10.516.445.540.225.400
Wolfeton;;;;
692.778.912.498.076;7.811.724.470.630.430;5.15;437.179.130.919.397;14.150.736.141.811.800
Johnmouth;;;;
6.794.671.467.561.320;5.671.136.342.785.440;3.21;3.519.794.256.902.530;10.434.839.151.320.300
Clinefurt;;;;
9.097.511.327.248.040;8.320.351.986.302.770;6.45;4.442.621.364.759.750;15.443.797.477.356.700
West Karenmouth;;;;
61.885.546.440.328.800;69.141.957.695.988.200;3.22;48.726.951.303.303.000;13.521.359.672.641.800
"FPO AE 29193""";;;;
694.018.472.172.649;8.097.044.284.953.610;3.44;29.293.074.048.931.000;15.057.274.308.014.000
South Daniel;;;;
7.296.912.127.123.050;8.076.943.603.616.290;4.2;31.755.721.364.239.900;14.169.659.786.882.400
Kariview;;;;
755.824.597.645.351;6.774.986.418.531.470;4.33;3.194.630.386.752.320;10.467.219.761.732.400
Natalieborough;;;;
56.241.226.773.131.700;6.818.670.753.532.720;2.18;32.745.368.120.153.800;9.390.400.035.601.150
West Matthew;;;;
7.941.283.547.174.570;7.481.321.112.226.400;3.26;17.568.733.760.583.300;1.383.031.332.366.430
North Audreymouth;;;;
7.961.823.684.602.080;6.669.888.411.446.430;3.49;29.636.507.110.556.600;1.072.503.237.943.670
West Larryborough;;;;
6.701.907.404.739.730;7.331.330.100.018.210;6.26;24.997.108.705.994.200;11.343.977.577.153.600
East Shelbystad;;;;
5.606.348.086.676.330;5.385.339.777.521.380;4.14;39.129.296.704.702.800;73.482.750.801.229
North Johnside;;;;
57.077.580.304.069.200;6.952.026.673.761.360;4.27;3.339.391.660.322.460;9.918.923.174.842.460
North Dakotashire;;;;
7.595.481.825.301.820;7.418.750.602.810.830;5.04;3.446.775.869.800.990;10.572.525.826.211.000
South Elizabethfort;;;;
5.257.581.517.492.210;7.173.698.881.863.380;4.06;4.182.857.961.688.680;12.372.248.587.518.100
South Thomasland;;;;
63.312.805.674.677.400;8.199.615.241.424.830;4.41;4.323.035.215.795.720;14.426.325.412.265.500
North William;;;;
8.252.696.210.481.900;774.824.895.259.721;4.46;43.947.680.264.122.500;18.774.023.197.269.400
South Fred;;;;
7.320.494.213.228.800;73.119.123.213.479.300;6.4;3.509.050.080.986.770;13.945.184.154.676.300
South Cynthia;;;;
56.357.193.138.054.800;5.240.300.886.600.400;3.25;3.806.199.829.895.610;9.539.393.299.056.440
West Ann;;;;
7.131.662.465.041.460;7.088.992.690.921.160;5.33;21.651.699.409.211.600;12.197.780.342.015.500
North Robinton;;;;
7.504.684.820.392.630;8.877.240.041.623.610;3.0;32.468.031.152.300.900;1.287.325.381.856.670
"APO AP 28726-5123""";;;;
8.447.416.005.619.020;5.935.909.326.221.990;2.47;386.778.151.530.554;17.398.935.550.495.900
Sarahville;;;;
6.816.268.392.566.850;6.697.358.009.859.320;3.07;31.843.876.337.225.800;12.133.822.226.364.600
Miguelmouth;;;;
6.278.433.294.834.320;4.652.717.554.450.580;3.31;35.122.389.471.607.700;10.074.787.484.311.500
Barkerfort;;;;
6.700.981.567.374.430;7.610.720.856.104.880;3.22;3.973.712.260.896.310;15.287.561.261.500.200
Nicoleshire;;;;
6.743.725.036.335.620;6.703.917.223.272.020;2.05;2.935.622.336.792.500;11.824.597.716.636.700
Kelleyfurt;;;;
6.596.776.930.857.640;7.777.279.443.513.260;3.14;3.579.996.254.832.010;14.745.467.621.461.100
Angelabury;;;;
4.281.630.588.550.860;704.524.851.047.004;4.18;47.457.662.214.283.800;10.780.169.396.491.000
East Angelicastad;;;;
8.334.766.969.696.440;5.475.252.653.496.940;3.14;48.226.718.927.780.100;1.453.381.624.303.100
New Crystalport;;;;
8.169.987.999.554.250;64.760.073.411.937.400;4.41;39.527.048.560.846.300;14.950.129.648.340.700
East Vanessabury;;;;
5.614.378.866.493.640;6.668.979.774.275.280;4.04;4.508.403.665.959.030;7.141.484.147.529.010
Williamton;;;;
5.951.383.491.952.110;5.574.714.349.694.390;3.18;44.162.279.205.220.100;8.942.920.474.101.030
North Haley;;;;
7.837.941.223.900.410;5.681.833.507.283.000;3.2;31.357.388.214.297.600;11.598.418.313.392.400
North Christianhaven;;;;
7.087.737.574.291.860;7.213.659.075.278.030;5.07;3.603.342.685.154.350;11.959.862.988.348.700
"APO AA 44610-4655""";;;;
61.526.974.447.976.700;9.180.401.428.602.020;6.11;27.307.948.031.413.500;1.381.430.630.188.790
Lake Hollystad;;;;
6.531.699.602.070.990;67.330.848.667.092.900;2.0;5.579.949.748.118.190;15.348.898.534.666.500
Stephaniehaven;;;;
7.626.881.833.386.310;6.147.907.595.982.690;3.17;38.649.852.386.212.400;14.941.253.298.718.800
East Sarahfort;;;;
48.531.364.228.529.800;8.517.401.059.111.700;5.3;39.731.150.563.494.600;13.561.462.608.426.200
East Brianfort;;;;
8.290.665.480.115.910;5.767.366.135.557.090;4.26;3.882.048.194.376.130;14.549.430.736.612.400
"APO AP 55563-1953""";;;;
6.311.784.405.077.340;5.636.779.394.573.880;2.31;43.091.845.142.505.800;7.741.181.878.354.990
New Melissabury;;;;
7.586.086.114.889.300;47.883.802.065.518.200;3.48;41.003.880.081.137.600;8.891.132.388.612.490
West John;;;;
6.884.476.424.875.800;6.916.808.181.467.370;3.29;4.839.249.736.045.830;1.211.102.210.889.240
"DPO AP 76779-7624""";;;;
5.244.626.685.600.120;7.429.639.244.113.220;3.11;32.934.553.200.974.900;6.586.461.847.265.180
South Reneeville;;;;
6.934.270.683.990.400;7.805.903.702.425.880;3.36;3.708.237.421.891.170;14.001.048.707.602.600
South Christineton;;;;
55.932.052.683.871.000;6.020.201.205.065.960;4.0;4.248.830.999.955.210;1.262.017.792.059.940
East Gina;;;;
5.330.692.213.650.360;6.194.794.324.882.630;2.15;3.906.333.871.389.040;5.530.772.126.120.750
North Richardstad;;;;
56.976.546.398.416.900;7.259.286.709.164.780;3.08;4.637.550.249.433.840;12.032.478.901.339.200
Stevenfurt;;;;
5.129.648.862.971.060;78.317.664.755.828.800;6.18;3.207.890.680.116.640;11.153.230.148.424.000
East Carolmouth;;;;
6.399.500.489.280.110;7.090.050.637.208.990;5.25;24.748.268.270.891.300;1.301.881.416.528.580
"FPO AE 57606-0743""";;;;
7.191.514.668.577.210;5.521.216.370.644.250;4.47;2.771.429.365.685.630;10.066.873.871.388.700
Richardsonfort;;;;
62.137.597.213.310.900;7.235.191.288.051.670;5.21;1.904.561.950.521.180;7.493.830.725.554.070
Lake Todd;;;;
7.805.096.982.777.530;62.903.058.884.706.200;4.15;27.789.748.516.297.300;10.755.965.865.851.900
Port Brenda;;;;
6.737.142.085.657.580;6.624.951.289.232.860;4.37;24.797.764.758.517.200;7.398.707.936.402.650
West Jessica;;;;
5.936.276.638.285.360;8.003.006.746.190.670;3.49;4.472.335.372.969.350;14.429.451.449.720.700
Jacquelinefurt;;;;
57.003.109.637.399;6.356.258.719.499.950;3.14;2.959.469.337.497.590;8.284.970.670.960.690
West Melissa;;;;
6.898.931.220.946.500;7.879.588.244.756.820;6.37;32.629.603.834.878.400;13.732.908.607.785.400
"FPO AA 90003""";;;;
7.096.990.210.264.180;6.396.268.005.904.590;3.18;24.833.646.145.090.100;925.566.331.316.076
Nicoleside;;;;
822.516.530.083.296;7.636.653.827.124.360;6.49;18.408.798.635.339.400;15.525.367.639.745.400
Port Tammy;;;;
7.130.645.729.927.480;6.688.230.169.654.560;2.04;4.328.439.715.786.260;13.359.045.009.155.400
Davidhaven;;;;
7.092.156.856.864.700;6.375.371.505.488.280;3.28;2.939.021.727.018.500;960.808.291.081.754
Mccoyburgh;;;;
7.073.946.009.573.000;7.166.501.645.912.910;6.28;3.514.866.775.270.880;14.059.330.186.992.400
West Elizabeth;;;;
58.097.841.822.991.000;6.144.038.119.393.710;3.04;19.903.000.078.828.400;6.190.876.936.175.330
New Melissa;;;;
512.735.088.526.293;6.888.205.629.009.320;2.09;538.118.949.059.733;13.292.732.276.498.600
"DPO AA 78774-2982""";;;;
7.632.659.232.469.660;4.936.329.008.647.580;3.44;42.779.831.295.917.800;12.618.438.443.217.300
West John;;;;
6.358.404.588.001.950;6.029.160.867.165.060;4.29;4.634.018.858.141.240;11.757.814.175.700.500
Port John;;;;
863.402.872.916.062;6.183.440.077.191.860;3.01;35.630.560.451.493.100;14.370.535.572.016.100
Madisonmouth;;;;
7.947.123.881.699.870;8.197.289.420.628.190;6.21;3.661.616.883.437.130;15.944.152.262.912.100
South Elizabeth;;;;
558.795.037.922.299;5.370.386.614.169.020;2.07;3.736.006.355.740.450;9.313.579.954.219.250
South Kenneth;;;;
4.050.354.133.219.890;6.566.175.292.607.290;3.14;4.597.947.754.493.000;7.986.396.541.779.220
Randallberg;;;;
8.339.440.783.174.940;59.050.243.437.326.000;2.08;30.487.524.623.204.100;1.451.739.624.652.710
Horneshire;;;;
645.012.264.490.648;7.293.476.753.807.880;5.33;4.386.930.998.440.170;12.789.916.886.996.100
New Stephanie;;;;
5.956.953.734.000.420;732.537.953.908.138;4.24;3.129.465.246.040.430;885.920.553.249.364
Billymouth;;;;
6.928.031.627.168.200;6.923.618.931.703.740;4.33;4.029.091.149.402.390;14.256.325.419.741.900
New Christopherview;;;;
6.634.248.968.113.720;6.949.108.920.124.760;3.06;11.792.815.159.070.400;9.018.817.426.862.380
Matthewville;;;;
7.336.704.599.083.930;9.054.709.887.987.450;5.25;23.684.787.951.169.200;1.521.730.791.403.270
South Krystalchester;;;;
